Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	WT/d16	all	0	8536704	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	WT/d16/p95M	all	0	8536704	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	WT/d16/p95MC	all	0	8536704	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	other	All	all	526	8536704	61.62							569439	6.67%					0.106	0.627	2.886	0.248	356808.514	0.018	0.056	1.703	0.013	32036.228	0.008	0.040	0.622	0.035	22901.820	93161	1.09%					0.096	0.252	2.748	0.092	23448.793	0.008	0.054	0.579	0.011	5032.891	0.005	0.040	0.857	0.042	3710.088	662600	7.76%					0.000	0.574	2.886	0.215	380257.307	0.000	0.056	1.703	0.012	37069.119	0.000	0.040	0.857	0.036	26611.908		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	others	all	898	21665215	41.45							935794	10.96%					0.106	0.761	3.667	0.340	712418.786	0.018	0.066	1.703	0.029	61980.062	0.008	0.077	1.078	0.130	71704.787	158476	1.86%					0.096	0.321	2.912	0.155	50876.216	0.008	0.070	2.938	0.040	11113.135	0.000	0.091	1.083	0.148	14434.090	1094270	12.82%					0.000	0.698	3.667	0.303	763295.002	0.000	0.067	2.938	0.030	73093.198	0.000	0.079	1.083	0.133	86138.876		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	p95M	all	13	21665215	0.600							47644	0.36%					0.237	0.709	1.509	0.173	33759.463	0.022	0.187	0.868	0.090	8905.484	0.013	0.138	0.760	0.086	6593.864	3667	0.03%					0.112	0.288	2.221	0.063	1057.531	0.036	0.327	1.269	0.213	1199.308	0.016	0.278	0.894	0.201	1018.263	51311	0.39%					0.000	0.679	2.221	0.162	34816.994	0.000	0.197	1.269	0.096	10104.792	0.000	0.148	0.894	0.094	7612.127		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	p95MC	all	2999	21665215	138.42							3392772	25.84%					0.146	0.633	2.882	0.149	2147166.269	0.031	0.349	3.358	0.138	1184708.775	0.019	0.285	1.400	0.096	967958.575	536309	4.09%					0.094	0.295	2.427	0.081	157956.017	0.011	0.475	3.277	0.173	254689.950	0.009	0.426	1.625	0.119	228495.122	3929081	29.93%					0.000	0.587	2.882	0.134	2305122.286	0.000	0.366	3.358	0.138	1439398.725	0.000	0.305	1.625	0.096	1196453.698		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	WT/d16	all	2	21665215	0.092							1301	0.01%					0.461	1.326	2.766	0.914	1725.108	0.080	0.278	0.725	0.166	361.922	0.200	0.446	1.609	0.176	579.841	355	0.00%					0.242	0.661	1.934	0.091	234.608	0.065	0.324	1.401	0.261	115.126	0.259	0.572	1.625	0.166	202.922	1656	0.01%					0.000	1.183	2.766	0.725	1959.715	0.000	0.288	1.401	0.185	477.048	0.000	0.473	1.625	0.171	782.763		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	WT/d16/p95M	all	150	21665215	6.924							200621	1.53%					0.131	0.610	1.743	0.119	122398.969	0.045	0.341	2.682	0.122	68447.783	0.028	0.231	1.228	0.078	46436.163	28986	0.22%					0.095	0.293	2.312	0.074	8507.085	0.019	0.571	2.906	0.208	16550.737	0.015	0.384	1.109	0.106	11117.722	229607	1.75%					0.000	0.570	2.312	0.109	130906.054	0.000	0.370	2.906	0.123	84998.520	0.000	0.251	1.228	0.077	57553.884		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	WT/d16/p95MC	all	9	21665215	0.42							10448	0.08%					0.310	0.795	1.795	0.221	8307.289	0.069	0.199	0.873	0.132	2080.637	0.111	0.386	1.110	0.107	4037.781	1859	0.01%					0.108	0.350	2.084	0.097	650.223	0.045	0.209	0.982	0.080	387.653	0.060	0.508	1.068	0.074	943.711	12307	0.09%					0.000	0.728	2.084	0.182	8957.512	0.000	0.201	0.982	0.124	2468.290	0.000	0.405	1.110	0.096	4981.492		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,58571].im3	All	All	all	4071	21665215	187.90							4588580	34.95%					0.106	0.659	3.667	0.217	3025775.884	0.018	0.289	3.358	0.171	1326484.662	0.008	0.239	1.609	0.135	1097311.011	729652	5.56%					0.094	0.301	2.912	0.102	219281.680	0.008	0.389	3.277	0.232	284055.909	0.000	0.351	1.625	0.187	256211.829	5318232	40.51%					0.000	0.610	3.667	0.194	3245057.563	0.000	0.303	3.358	0.176	1610540.572	0.000	0.255	1.625	0.140	1353522.841		18SP-07900	0	0	0	0		
