Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	WT/d16	all	0	8055232	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	WT/d16/p95M	all	0	8055232	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	WT/d16/p95MC	all	0	8055232	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	other	All	all	277	8055232	34.39							248891	3.09%					0.210	0.779	3.300	0.215	193950.317	0.018	0.057	0.322	0.012	14224.093	0.003	0.030	0.170	0.005	7576.988	46070	0.57%					0.093	0.269	2.527	0.083	12395.490	0.007	0.058	0.348	0.011	2692.016	0.000	0.031	0.237	0.005	1427.871	294961	3.66%					0.000	0.700	3.300	0.182	206345.807	0.000	0.057	0.348	0.011	16916.109	0.000	0.031	0.237	0.005	9004.859		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	others	all	452	21665215	20.86							419251	3.08%					0.210	0.880	3.463	0.268	368932.256	0.018	0.068	0.454	0.022	28336.230	0.003	0.036	0.651	0.020	15236.907	75831	0.56%					0.093	0.325	3.583	0.133	24678.279	0.007	0.071	0.749	0.028	5392.018	0.000	0.040	0.918	0.035	3065.794	495082	3.64%					0.000	0.795	3.583	0.236	393610.535	0.000	0.068	0.749	0.021	33728.249	0.000	0.037	0.918	0.022	18302.700		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	p95M	all	209	21665215	9.647							1591068	11.69%					0.179	1.264	2.829	0.162	2011388.019	0.030	0.331	1.932	0.066	526315.828	0.012	0.129	0.695	0.021	205109.791	81605	0.60%					0.125	0.650	3.599	0.161	53065.889	0.018	0.174	2.145	0.069	14214.734	0.004	0.076	0.833	0.040	6185.345	1672673	12.29%					0.000	1.234	3.599	0.162	2064453.909	0.000	0.323	2.145	0.065	540530.562	0.000	0.126	0.833	0.021	211295.136		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	p95MC	all	2865	21665215	132.24							3371709	24.77%					0.196	1.026	3.186	0.250	3459421.340	0.025	0.267	1.798	0.096	899895.995	0.006	0.127	1.019	0.067	427465.547	511418	3.76%					0.092	0.495	3.583	0.208	252996.693	0.009	0.203	2.960	0.154	103706.899	0.000	0.131	1.059	0.144	67183.616	3883127	28.53%					0.000	0.956	3.583	0.243	3712418.033	0.000	0.258	2.960	0.098	1003602.895	0.000	0.127	1.059	0.076	494649.163		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	WT/d16	all	18	21665215	0.831							15354	0.11%					0.222	0.986	2.245	0.204	15132.781	0.071	0.277	1.322	0.136	4259.402	0.057	0.317	1.088	0.127	4865.719	3098	0.02%					0.113	0.413	1.476	0.114	1280.199	0.042	0.389	2.076	0.159	1206.647	0.031	0.472	1.205	0.134	1462.044	18452	0.14%					0.000	0.889	2.245	0.186	16412.980	0.000	0.296	2.076	0.127	5466.048	0.000	0.343	1.205	0.113	6327.763		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	WT/d16/p95M	all	457	21665215	21.09							563579	4.14%					0.171	0.849	2.198	0.131	478453.101	0.043	0.290	2.269	0.098	163628.842	0.019	0.191	0.871	0.047	107842.518	86941	0.64%					0.096	0.338	2.394	0.071	29427.829	0.024	0.564	2.963	0.183	49075.145	0.011	0.436	1.205	0.104	37879.260	650520	4.78%					0.000	0.781	2.394	0.116	507880.929	0.000	0.327	2.963	0.103	212703.987	0.000	0.224	1.205	0.050	145721.777		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	WT/d16/p95MC	all	5	21665215	0.23							7222	0.05%					0.301	0.784	2.716	0.362	5661.253	0.042	0.213	0.681	0.051	1535.832	0.016	0.136	0.747	0.066	979.161	1140	0.01%					0.121	0.465	2.559	0.095	530.320	0.025	0.148	0.645	0.049	168.564	0.011	0.174	1.161	0.112	198.531	8362	0.06%					0.000	0.740	2.716	0.303	6191.573	0.000	0.204	0.681	0.051	1704.396	0.000	0.141	1.161	0.066	1177.692		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,50921].im3	All	All	all	4006	21665215	184.90							5968183	43.85%					0.171	1.062	3.463	0.252	6338988.750	0.018	0.272	2.269	0.112	1623972.129	0.003	0.128	1.088	0.072	761499.643	760033	5.58%					0.092	0.476	3.599	0.204	361979.209	0.007	0.229	2.963	0.194	173764.008	0.000	0.153	1.205	0.167	115974.589	6728216	49.44%					0.000	0.996	3.599	0.246	6700967.959	0.000	0.267	2.963	0.115	1797736.137	0.000	0.130	1.205	0.083	877474.231		18SP-07900	0	0	0	0		
