Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	WT/d16	all	0	6903744	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	WT/d16/p95M	all	0	6903744	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	WT/d16/p95MC	all	0	6903744	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	All	all	86	6903744	12.5							75033	1.09%					0.202	0.692	2.995	0.263	51893.652	0.016	0.065	0.332	0.014	4867.053	0.012	0.043	0.358	0.007	3240.235	14801	0.21%					0.090	0.259	1.899	0.070	3835.522	0.014	0.061	0.745	0.015	907.136	0.009	0.040	0.546	0.009	599.013	89834	1.30%					0.000	0.620	2.995	0.213	55729.174	0.000	0.064	0.745	0.013	5774.189	0.000	0.043	0.546	0.007	3839.248		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	others	all	748	21665215	34.53							766675	11.11%					0.180	0.849	2.995	0.268	650898.639	0.016	0.120	1.229	0.061	91722.231	0.012	0.165	1.311	0.189	126871.499	135586	1.96%					0.075	0.308	2.898	0.113	41796.213	0.012	0.117	2.407	0.076	15879.572	0.007	0.190	1.522	0.226	25743.583	902261	13.07%					0.000	0.768	2.995	0.235	692694.852	0.000	0.119	2.407	0.062	107601.803	0.000	0.169	1.522	0.194	152615.081		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	p95M	all	25	21665215	1.15							144886	0.98%					0.184	0.813	2.314	0.134	117742.019	0.032	0.189	4.335	0.118	27416.842	0.023	0.089	0.571	0.035	12848.780	8645	0.06%					0.115	0.336	2.040	0.123	2905.447	0.027	0.117	2.290	0.121	1009.147	0.017	0.076	0.682	0.091	653.727	153531	1.04%					0.000	0.786	2.314	0.132	120647.466	0.000	0.185	4.335	0.109	28425.990	0.000	0.088	0.682	0.040	13502.507		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	p95MC	all	2259	21665215	104.27							2347098	15.90%					0.131	0.735	2.650	0.194	1724903.699	0.030	0.317	3.166	0.119	744506.117	0.023	0.331	1.330	0.139	777028.782	402929	2.73%					0.080	0.310	2.647	0.093	125014.151	0.017	0.386	4.246	0.159	155418.914	0.011	0.448	1.404	0.170	180438.797	2750027	18.63%					0.000	0.673	2.650	0.172	1849917.850	0.000	0.327	4.246	0.119	899925.031	0.000	0.348	1.404	0.140	957467.579		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	WT/d16	all	6	21665215	0.28							4709	0.03%					0.239	0.820	2.126	0.381	3859.785	0.085	0.332	1.424	0.242	1564.956	0.183	0.778	2.133	0.351	3664.837	998	0.01%					0.101	0.380	1.766	0.125	378.832	0.027	0.266	1.110	0.085	265.569	0.084	0.608	1.764	0.123	606.918	5707	0.04%					0.000	0.743	2.126	0.327	4238.617	0.000	0.321	1.424	0.206	1830.525	0.000	0.749	2.133	0.284	4271.756		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	WT/d16/p95M	all	59	21665215	2.72							62393	0.42%					0.123	0.639	1.731	0.129	39862.267	0.018	0.320	2.656	0.133	19943.379	0.041	0.288	1.183	0.118	17939.399	10921	0.07%					0.082	0.291	1.898	0.068	3174.694	0.020	0.429	2.612	0.194	4683.388	0.027	0.426	1.396	0.141	4657.695	73314	0.50%					0.000	0.587	1.898	0.112	43036.961	0.000	0.336	2.656	0.132	24626.767	0.000	0.308	1.396	0.114	22597.094		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	WT/d16/p95MC	all	51	21665215	2.35							59358	0.40%					0.095	0.776	2.626	0.266	46046.264	0.044	0.254	1.244	0.078	15052.852	0.045	0.503	1.404	0.114	29841.657	10910	0.07%					0.091	0.305	2.502	0.078	3327.621	0.020	0.227	1.245	0.063	2472.427	0.037	0.530	1.478	0.125	5780.892	70268	0.48%					0.000	0.703	2.626	0.225	49373.886	0.000	0.249	1.245	0.073	17525.279	0.000	0.507	1.478	0.108	35622.550		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	All	All	all	3148	21665215	145.30							3385119	49.03%					0.095	0.763	2.995	0.220	2583312.673	0.016	0.266	4.335	0.139	900206.377	0.012	0.286	2.133	0.174	968194.954	569989	8.26%					0.075	0.310	2.898	0.098	176596.959	0.012	0.315	4.246	0.185	179729.017	0.007	0.382	1.764	0.218	217881.613	3955108	57.29%					0.000	0.698	2.995	0.193	2759909.632	0.000	0.273	4.335	0.142	1079935.394	0.000	0.300	2.133	0.178	1186076.567		18SP-07900	0	0	0	0		
