Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	WT/d16	all	0	5842176	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	WT/d16/p95M	all	0	5842176	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	WT/d16/p95MC	all	0	5842176	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	other	All	all	305	5842176	52.21							283170	4.85%					0.208	0.703	3.128	0.239	199105.519	0.018	0.056	0.362	0.010	15907.885	0.005	0.033	0.300	0.005	9436.446	50483	0.32%					0.084	0.255	3.541	0.074	12874.490	0.010	0.057	0.675	0.011	2865.710	0.003	0.033	0.346	0.006	1689.809	333653	5.17%					0.000	0.635	3.541	0.201	211980.009	0.000	0.056	0.675	0.010	18773.595	0.000	0.033	0.346	0.005	11126.255		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	others	all	576	21665215	26.59							553129	9.47%					0.208	0.832	4.495	0.294	460179.047	0.018	0.064	0.362	0.016	35126.082	0.005	0.038	0.410	0.011	21015.756	96500	0.61%					0.084	0.310	3.541	0.122	29907.271	0.010	0.065	0.846	0.022	6307.584	0.003	0.040	0.956	0.023	3884.084	649629	10.08%					0.000	0.754	4.495	0.256	490086.318	0.000	0.064	0.846	0.016	41433.666	0.000	0.038	0.956	0.013	24899.840		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	p95M	all	60	21665215	2.77							285896	1.81%					0.306	0.974	2.608	0.148	278581.502	0.029	0.212	2.011	0.060	60514.653	0.005	0.103	0.567	0.027	29513.356	19432	0.12%					0.121	0.442	3.536	0.141	8584.401	0.023	0.125	1.375	0.108	2427.915	0.012	0.081	0.932	0.091	1570.561	305328	1.93%					0.000	0.941	3.536	0.141	287165.903	0.000	0.206	2.011	0.059	62942.568	0.000	0.102	0.932	0.030	31083.917		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	p95MC	all	3060	21665215	141.24							3179948	20.10%					0.159	0.752	3.345	0.193	2391328.038	0.020	0.251	1.794	0.100	796875.998	0.011	0.191	1.048	0.099	606594.183	524269	3.31%					0.088	0.337	2.739	0.111	176434.073	0.012	0.323	2.357	0.175	169583.768	0.003	0.300	1.172	0.182	157375.529	3704217	23.41%					0.000	0.693	3.345	0.177	2567762.110	0.000	0.261	2.357	0.106	966459.766	0.000	0.206	1.172	0.108	763969.712		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	WT/d16	all	37	21665215	1.71							30025	0.19%					0.193	0.924	2.515	0.239	27749.781	0.071	0.227	1.059	0.065	6801.776	0.069	0.342	1.236	0.091	10265.095	6070	0.04%					0.113	0.376	2.142	0.092	2280.940	0.037	0.320	1.101	0.095	1941.378	0.035	0.514	1.369	0.098	3118.439	36095	0.23%					0.000	0.832	2.515	0.199	30030.721	0.000	0.242	1.101	0.064	8743.154	0.000	0.371	1.369	0.077	13383.534		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	WT/d16/p95M	all	1252	21665215	57.788							1342579	8.48%					0.188	0.756	2.152	0.122	1014336.806	0.035	0.263	2.698	0.076	352984.956	0.013	0.207	1.113	0.053	277936.419	218764	1.38%					0.095	0.317	2.431	0.070	69413.863	0.018	0.490	2.990	0.123	107100.556	0.011	0.433	1.133	0.096	94756.259	1561343	9.87%					0.000	0.694	2.431	0.108	1083750.668	0.000	0.295	2.990	0.077	460085.512	0.000	0.239	1.133	0.054	372692.678		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	WT/d16/p95MC	all	193	21665215	8.908							258989	1.64%					0.248	0.899	3.053	0.221	232919.899	0.034	0.213	1.178	0.059	55290.196	0.013	0.211	1.109	0.100	54535.604	38933	0.25%					0.103	0.371	2.777	0.113	14430.347	0.018	0.297	1.553	0.124	11545.946	0.007	0.383	1.324	0.173	14920.280	297922	1.88%					0.000	0.830	3.053	0.197	247350.247	0.000	0.224	1.553	0.058	66836.141	0.000	0.233	1.324	0.104	69455.884		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[6828,49921].im3	All	All	all	5178	21665215	239.00							5650566	35.71%					0.159	0.780	4.495	0.201	4405095.073	0.018	0.231	2.698	0.106	1307593.662	0.005	0.177	1.236	0.099	999860.412	903968	5.71%					0.084	0.333	3.541	0.106	301050.895	0.010	0.331	2.990	0.193	298907.147	0.003	0.305	1.369	0.189	275625.153	6554534	41.42%					0.000	0.718	4.495	0.181	4706145.967	0.000	0.245	2.990	0.113	1606500.809	0.000	0.195	1.369	0.109	1275485.565		18SP-07900	0	0	0	0		
