Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	"Nucleus DAPI Min (Normalized Counts, Peak Weighting)"	"Nucleus DAPI Mean (Normalized Counts, Peak Weighting)"	"Nucleus DAPI Max (Normalized Counts, Peak Weighting)"	"Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)"	"Nucleus DAPI Total (Normalized Counts, Peak Weighting)"	"Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)"	"Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)"	"Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)"	"Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)"	"Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)"	"Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)"	"Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)"	"Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)"	"Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)"	"Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)"	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	"Membrane DAPI Min (Normalized Counts, Peak Weighting)"	"Membrane DAPI Mean (Normalized Counts, Peak Weighting)"	"Membrane DAPI Max (Normalized Counts, Peak Weighting)"	"Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)"	"Membrane DAPI Total (Normalized Counts, Peak Weighting)"	"Membrane Opal 570 Min (Normalized Counts, Peak Weighting)"	"Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)"	"Membrane Opal 570 Max (Normalized Counts, Peak Weighting)"	"Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)"	"Membrane Opal 570 Total (Normalized Counts, Peak Weighting)"	"Membrane Opal 650 Min (Normalized Counts, Peak Weighting)"	"Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)"	"Membrane Opal 650 Max (Normalized Counts, Peak Weighting)"	"Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)"	"Membrane Opal 650 Total (Normalized Counts, Peak Weighting)"	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	"Entire Cell DAPI Min (Normalized Counts, Peak Weighting)"	"Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)"	"Entire Cell DAPI Max (Normalized Counts, Peak Weighting)"	"Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)"	"Entire Cell DAPI Total (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)"	"Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)"	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	other	WT/d16/p95M	all	0	6231552	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	other	WT/d16/p95MC	all	0	6231552	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	other	All	all	260	6231552	41.72							255864	4.11%					0.183	0.612	2.708	0.223	156590.358	0.019	0.06	0.462	0.01	15431.485	0.008	0.042	0.252	0.006	10797.146	45645	0.73%					0.096	0.272	2.411	0.073	12405.829	0.008	0.06	0.45	0.011	2721.095	0.011	0.041	0.302	0.007	1880.172	301509	4.84%					0	0.561	2.708	0.187	168996.187	0	0.06	0.462	0.01	18152.579	0	0.042	0.302	0.006	12677.318		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	others	all	1062	21665215	49.019							1108817	7.18%					0.183	0.814	3.025	0.276	903076.554	0.019	0.089	0.842	0.041	98792.196	0.008	0.113	1.091	0.146	125316.92	189254	1.23%					0.096	0.352	3.353	0.122	66623.601	0.008	0.089	1.605	0.048	16807.974	0.011	0.124	1.122	0.159	23417.108	1298071	8.41%					0	0.747	3.353	0.243	969700.156	0	0.089	1.605	0.042	115600.171	0	0.115	1.122	0.147	148734.028		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	p95M	all	15	21665215	0.692							72882	0.47%					0.301	0.887	1.957	0.192	64668.025	0.034	0.215	2.251	0.156	15647.638	0.018	0.136	1.484	0.219	9946.039	4905	0.03%					0.144	0.397	2.131	0.126	1947.635	0.027	0.187	2.148	0.245	917.835	0.021	0.138	1.648	0.227	675.097	77787	0.50%					0	0.856	2.131	0.187	66615.661	0	0.213	2.251	0.159	16565.473	0	0.137	1.648	0.218	10621.136		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	p95MC	all	3494	21665215	161.27							3783665	24.52%					0.171	0.625	2.545	0.154	2365267.411	0.031	0.33	3.962	0.129	1248889.527	0.02	0.302	1.949	0.11	1141564.307	621282	4.03%					0.093	0.332	2.167	0.088	206203.14	0.017	0.423	3.733	0.166	262645.466	0.006	0.429	1.869	0.136	266448.731	4404947	28.54%					0	0.584	2.545	0.139	2571470.551	0	0.343	3.962	0.13	1511534.994	0	0.32	1.949	0.11	1408013.039		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	WT/d16	all	4	21665215	0.18							4128	0.03%					0.709	1.318	2.153	0.162	5438.959	0.303	0.839	2.885	0.243	3462.854	0.489	1.466	2.398	0.23	6049.585	786	0.01%					0.387	1.021	1.771	0.247	802.772	0.21	0.843	3.119	0.38	662.822	0.276	1.263	2.398	0.347	992.956	4914	0.03%					0	1.27	2.153	0.162	6241.731	0	0.84	3.119	0.267	4125.676	0	1.433	2.398	0.237	7042.542		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	WT/d16/p95M	all	28	21665215	1.29							30824	0.20%					0.192	0.625	2.513	0.234	19276.807	0.053	0.377	3.169	0.166	11613.261	0.039	0.25	2.044	0.138	7691.171	5363	0.03%					0.108	0.325	1.321	0.105	1741.913	0.03	0.55	3.212	0.259	2950.238	0.029	0.377	2.171	0.155	2022.667	36187	0.23%					0	0.581	2.513	0.203	21018.72	0	0.402	3.212	0.171	14563.499	0	0.268	2.171	0.132	9713.838		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	WT/d16/p95MC	all	4	21665215	0.18							4947	0.03%					0.362	0.653	1.169	0.11	3228.354	0.057	0.161	0.415	0.033	795.82	0.077	0.388	0.9	0.104	1920.839	765	0.00%					0.105	0.308	0.731	0.072	235.877	0.029	0.154	0.449	0.029	117.922	0.046	0.47	1.09	0.154	359.591	5712	0.04%					0	0.606	1.169	0.09	3464.231	0	0.16	0.449	0.028	913.742	0	0.399	1.09	0.094	2280.43		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	"18SP-07900_[11758,61571].im3"	All	All	all	4607	21665215	212.65							5005263	32.43%					0.171	0.671	3.025	0.208	3360956.111	0.019	0.276	3.962	0.156	1379201.297	0.008	0.258	2.398	0.149	1292488.863	822355	5.33%					0.093	0.338	3.353	0.1	277554.938	0.008	0.345	3.733	0.206	284102.257	0.006	0.357	2.398	0.194	293916.15	5827618	37.76%					0	0.624	3.353	0.185	3638511.049	0	0.285	3.962	0.161	1663303.554	0	0.272	2.398	0.153	1586405.013		18SP-07900	0	0	0	0		
